Panjang_Awal(m),Panjang_Akhir(m),Keliling (cm),Diameter (cm),KUBIKASI 
,,229,73,2.56
,,232,74,2.62
,,236,75,2.69
,,239,76,2.76
,,242,77,2.83
,,245,78,2.90
,,248,79,2.97
,,251,80,3.04
,,254,81,3.11
,,258,82,3.18
,,261,83,3.26
,,264,84,3.33
,,267,85,3.41
,,270,86,3.48
,,273,87,3.56
,,276,88,3.64
,,280,89,3.72
,,283,90,3.80
,,286,91,3.89
,,289,92,3.97
,,292,93,4.05
,,295,94,4.14
,,298,95,4.22
,,302,96,4.30
,,305,97,4.39
,,308,98,4.48
,,311,99,4.57
,,314,100,4.66
,,317,101,4.75
,,320,102,4.84
,,324,103,4.93
,,327,104,5.03
,,330,105,5.12
,,333,106,5.21
,,336,107,5.31
,,339,108,5.41
,,342,109,5.51
,,346,110,5.60
,,349,111,5.70
,,352,112,5.80
,,355,113,5.91
,,358,114,6.01
,,361,115,6.12
,,364,116,6.24
,,368,117,6.35
,,371,118,6.47
,,374,119,6.60
,,377,120,6.71
,,380,121,6.84
,,383,122,6.97
,,386,123,7.11
,,390,124,7.24
,,393,125,7.38
,,396,126,7.52
,,399,127,7.67
,,402,128,7.82
,,405,129,7.98
,,408,130,8.15
"7,00","7,90",94,30,0.61
,,97,31,0.65
,,100,32,0.69
,,104,33,0.72
,,107,34,0.76
,,110,35,0.80
,,113,36,0.84
,,116,37,0.89
,,119,38,0.93
,,122,39,0.97
,,126,40,1.01
,,129,41,1.06
,,132,42,1.11
,,135,43,1.16
,,138,44,1.20
,,141,45,1.25
,,144,46,1.30
,,148,47,1.35
,,151,48,1.41
,,154,49,1.46
,,157,50,1.51
,,160,51,1.57
,,163,52,1.62
,,166,53,1.68
,,170,54,1.74
,,173,55,1.80
,,176,56,1.86
,,179,57,1.92
,,182,58,1.98
,,185,59,2.04
,,188,60,2.11
,,192,61,2.17
,,195,62,2.24
,,198,63,2.31
,,201,64,2.37
,,204,65,2.44
,,207,66,2.51
,,210,67,2.58
,,214,68,2.66
,,217,69,2.73
,,220,70,2.80
,,223,71,2.88
,,226,72,2.95
,,229,73,3.03
,,232,74,3.11
,,236,75,3.19
,,239,76,3.27
,,242,77,3.35
,,245,78,3.43
,,248,79,3.52
,,251,80,3.60
,,254,81,3.68
,,258,82,3.77
,,261,83,3.86
,,264,84,3.95
,,267,85,4.03
,,270,86,4.12
,,273,87,4.21
,,276,88,4.30
,,280,89,4.40
,,283,90,4.50
,,286,91,4.59
,,289,92,4.69
,,292,93,4.79
,,295,94,4.89
,,298,95,4.98
,,302,96,5.08
,,305,97,5.19
,,308,98,5.29
,,311,99,5.40
,,314,100,5.50
,,317,101,5.61
,,320,102,5.71
,,324,103,5.82
,,327,104,5.93
,,330,105,6.04
,,333,106,6.15
,,336,107,6.26
,,339,108,6.38
,,342,109,6.49
,,346,110,6.61
,,349,111,6.73
,,352,112,6.84
,,355,113,6.96
,,358,114,7.08
,,361,115,7.21
,,364,116,7.36
,,368,117,7.49
,,371,118,7.62
,,374,119,7.77
,,377,120,7.92
,,380,121,8.11
,,383,122,8.23
,,386,123,8.39
,,390,124,8.56
,,393,125,8.74
,,396,126,8.88
,,399,127,9.07
,,402,128,9.24
,,405,129,9.44
,,408,130,9.61
"8,00","8,90",94,30,0.72
,,97,31,0.77
,,100,32,0.81
,,104,33,0.85
,,107,34,0.90
,,110,35,0.95
,,113,36,0.99
,,116,37,1.04
,,119,38,1.09
,,122,39,1.14
,,126,40,1.19
,,129,41,1.25
,,132,42,1.30
,,135,43,1.36
,,138,44,1.41
,,141,45,1.46
,,144,46,1.53
,,148,47,1.58
,,151,48,1.65
,,154,49,1.71
,,157,50,1.77
,,160,51,1.84
,,163,52,1.90
,,166,53,1.96
,,170,54,2.03
,,173,55,2.10
,,176,56,2.17
,,179,57,2.24
,,182,58,2.31
,,185,59,2.38
,,188,60,2.46
,,192,61,2.53
,,195,62,2.61
,,198,63,2.69
,,201,64,2.76
,,204,65,2.84
,,207,66,2.92
,,210,67,3.01
,,214,68,3.09
,,217,69,3.17
,,220,70,3.26
,,223,71,3.34
,,226,72,3.43
,,229,73,3.52
,,232,74,3.61
,,236,75,3.70
,,239,76,3.79
,,242,77,3.89
,,245,78,3.98
,,248,79,4.08
,,251,80,4.17
,,254,81,4.27
,,258,82,4.37
,,261,83,4.47
,,264,84,4.58
,,267,85,4.68
,,270,86,4.78
,,273,87,4.88
,,276,88,4.99
,,280,89,5.10
,,283,90,5.21
,,286,91,5.32
,,289,92,5.43
,,292,93,5.54
,,295,94,5.66
,,298,95,5.77
,,302,96,5.88
,,305,97,6.00
,,308,98,6.12
,,311,99,6.25
,,314,100,6.37
,,317,101,6.49
,,320,102,6.61
,,324,103,6.74
,,327,104,6.86
,,330,105,6.98
,,333,106,7.11
,,336,107,7.24
,,339,108,7.37
,,342,109,7.50
,,346,110,7.63
,,349,111,7.77
,,352,112,7.90
,,355,113,8.04
,,358,114,8.18
,,361,115,8.32
,,364,116,8.48
,,368,117,8.64
,,371,118,8.77
,,374,119,8.92
,,377,120,9.09
,,380,121,9.28
,,383,122,9.42
,,386,123,9.60
,,390,124,9.74
,,393,125,9.90
,,396,126,10.05
,,399,127,10.21
,,402,128,10.37
,,405,129,10.52
,,408,130,10.69
"9,00","9,90",94,30,0.84
,,97,31,0.89
,,100,32,0.94
,,104,33,0.99
,,107,34,1.04
,,110,35,1.10
,,113,36,1.15
,,116,37,1.21
,,119,38,1.26
,,122,39,1.32
,,126,40,1.38
,,129,41,1.44
,,132,42,1.50
,,135,43,1.56
,,138,44,1.63
,,141,45,1.69
,,144,46,1.76
,,148,47,1.83
,,151,48,1.90
,,154,49,1.96
,,157,50,2.04
,,160,51,2.11
,,163,52,2.18
,,166,53,2.26
,,170,54,2.33
,,173,55,2.41
,,176,56,2.49
,,179,57,2.57
,,182,58,2.65
,,185,59,2.73
,,188,60,2.82
,,192,61,2.90
,,195,62,2.99
,,198,63,3.08
,,201,64,3.17
,,204,65,3.26
,,207,66,3.35
,,210,67,3.44
,,214,68,3.54
,,217,69,3.63
,,220,70,3.73
,,223,71,3.83
,,226,72,3.93
,,229,73,4.03
,,232,74,4.13
,,236,75,4.23
,,239,76,4.33
,,242,77,4.44
,,245,78,4.55
,,248,79,4.66
,,251,80,4.77
,,254,81,4.88
,,258,82,4.99
,,261,83,5.11
,,264,84,5.22
,,267,85,5.34
,,270,86,5.45
,,273,87,5.57
,,276,88,5.69
,,280,89,5.82
,,283,90,5.94
,,286,91,6.07
,,289,92,6.19
,,292,93,6.32
,,295,94,6.45
,,298,95,6.57
,,302,96,6.71
,,305,97,6.84
,,308,98,6.97
,,311,99,7.12
,,314,100,7.25
,,317,101,7.39
,,320,102,7.53
,,324,103,7.67
,,327,104,7.81
,,330,105,7.95
,,333,106,8.10
,,336,107,8.24
,,339,108,8.39
,,342,109,8.54
,,346,110,8.68
,,349,111,8.84
,,352,112,8.99
,,355,113,9.15
,,358,114,9.30
,,361,115,9.47
,,364,116,9.64
,,368,117,9.82
,,371,118,9.97
,,374,119,10.13
,,377,120,10.28
,,380,121,10.45
,,383,122,10.61
,,386,123,10.78
,,390,124,10.93
,,393,125,11.09
,,396,126,11.26
,,399,127,11.42
,,402,128,11.60
,,405,129,11.78
,,408,130,11.96
"10,00","15,00",94,30,0.99
,,97,31,1.05
,,100,32,1.11
,,104,33,1.16
,,107,34,1.23
,,110,35,1.29
,,113,36,1.35
,,116,37,1.42
,,119,38,1.48
,,122,39,1.55
,,126,40,1.61
,,129,41,1.69
,,132,42,1.75
,,135,43,1.83
,,138,44,1.90
,,141,45,1.97
,,144,46,2.05
,,148,47,2.13
,,151,48,2.21
,,154,49,2.29
,,157,50,2.37
,,160,51,2.46
,,163,52,2.54
,,166,53,2.63
,,170,54,2.71
,,173,55,2.80
,,176,56,2.89
,,179,57,2.99
,,182,58,3.08
,,185,59,3.17
,,188,60,3.27
,,192,61,3.37
,,195,62,3.47
,,198,63,3.57
,,201,64,3.67
,,204,65,3.78
,,207,66,3.88
,,210,67,3.99
,,214,68,4.09
,,217,69,4.20
,,220,70,4.31
,,223,71,4.42
,,226,72,4.54
,,229,73,4.65
,,232,74,4.77
,,236,75,4.89
,,239,76,5.00
,,242,77,5.14
,,245,78,5.26
,,248,79,5.38
,,251,80,5.50
,,254,81,5.63
,,258,82,5.76
,,261,83,5.89
,,264,84,6.03
,,267,85,6.16
,,270,86,6.29
,,273,87,6.42
,,276,88,6.56
,,280,89,6.70
,,283,90,6.85
,,286,91,6.99
,,289,92,7.13
,,292,93,7.28
,,295,94,7.42
,,298,95,7.57
,,302,96,7.72
,,305,97,7.87
,,308,98,8.02
,,311,99,8.19
,,314,100,8.34
,,317,101,8.50
,,320,102,8.66
,,324,103,8.82
,,327,104,8.97
,,330,105,9.14
,,333,106,9.30
,,336,107,9.47
,,339,108,9.64
,,342,109,9.81
