Nama ,Panjang (m),Keliling (cm),Diameter (cm),Isi ,,,,,,,,,,,,,,,,,
"Tabel A.6 ̶ AI (Kayu bundar kecil) (p : 3,40 - 3,90 m; d : 4 - 19 cm) ","3,40",9,4,"0,007",,,,,,,,,,,,,,,,,
,,19,7,"0,018",,,,,,,,,,,,,,,,,
,,28,10,"0,036",,,,,,,,,,,,,,,,,
,,38,13,"0,057",,,,,,,,,,,,,,,,,
,,47,16,"0,082",,,,,,,,,,,,,,,,,
,,57,19,"0,113",,,,,,,,,,,,,,,,,
,"3,50",9,4,"0,007",,,,,,,,,,,,,,,,,
,,19,7,"0,019",,,,,,,,,,,,,,,,,
,,28,10,"0,037",,,,,,,,,,,,,,,,,
,,38,13,"0,059",,,,,,,,,,,,,,,,,
,,47,16,"0,085",,,,,,,,,,,,,,,,,
,,57,19,"0,117",,,,,,,,,,,,,,,,,
,"3,60",9,4,"0,007",,,,,,,,,,,,,,,,,
,,19,7,"0,020",,,,,,,,,,,,,,,,,
,,28,10,"0,038",,,,,,,,,,,,,,,,,
,,38,13,"0,061",,,,,,,,,,,,,,,,,
,,47,16,"0,088",,,,,,,,,,,,,,,,,
,,57,19,"0,121",,,,,,,,,,,,,,,,,
,"3,70",9,4,"0,007",,,,,,,,,,,,,,,,,
,,19,7,"0,021",,,,,,,,,,,,,,,,,
,,28,10,"0,039",,,,,,,,,,,,,,,,,
,,38,13,"0,063",,,,,,,,,,,,,,,,,
,,47,16,"0,091",,,,,,,,,,,,,,,,,
,,57,19,"0,125",,,,,,,,,,,,,,,,,
,"3,80",9,4,"0,008",,,,,,,,,,,,,,,,,
,,19,7,"0,021",,,,,,,,,,,,,,,,,
,,28,10,"0,041",,,,,,,,,,,,,,,,,
,,38,13,"0,065",,,,,,,,,,,,,,,,,
,,47,16,"0,094",,,,,,,,,,,,,,,,,
,,57,19,"0,129",,,,,,,,,,,,,,,,,
,"3,90",9,4,"0,008",,,,,,,,,,,,,,,,,
,,19,7,"0,022",,,,,,,,,,,,,,,,,
,,28,10,"0,042",,,,,,,,,,,,,,,,,
,,38,13,"0,067",,,,,,,,,,,,,,,,,
,,47,16,"0,097",,,,,,,,,,,,,,,,,
,,57,19,"0,133",,,,,,,,,,,,,,,,,
"Tabel A.7 ̶ AI (Kayu bundar kecil) (p : 4,00 - 4,50 m; d : 4 - 19 cm) ","4,00",9,4,"0,008",,,,,,,,,,,,,,,,,
,,19,7,"0,023",,,,,,,,,,,,,,,,,
,,28,10,"0,043",,,,,,,,,,,,,,,,,
,,38,13,"0,069",,,,,,,,,,,,,,,,,
,,47,16,"0,100",,,,,,,,,,,,,,,,,
,,57,19,"0,137",,,,,,,,,,,,,,,,,
,"4,10",9,4,"0,008",,,,,,,,,,,,,,,,,
,,19,7,"0,024",,,,,,,,,,,,,,,,,
